word|state|url|audio
cinema|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233950_19.5s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-90740-merge.wav|cinema.wav
circle|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-234009_18.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-96630-merge.wav|circle.wav
city|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-234029_20.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-81017-merge.wav|city.wav
clap|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-234049_20.2s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-57808-merge.wav|clap.wav
clapping game|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-234111_21.2s-seed12.pt-temp1e-05-top_p0.501-top_k12-len13-96299-merge.wav|clapping game.wav
class|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-234130_19.3s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-34590-merge.wav|class.wav
classmate|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-234149_18.3s-seed12.pt-temp1e-05-top_p0.501-top_k12-len9-54131-merge.wav|classmate.wav
classroom|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-234208_19.6s-seed12.pt-temp1e-05-top_p0.501-top_k12-len9-89489-merge.wav|classroom.wav
clean|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-234227_18.7s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-34974-merge.wav|clean.wav
clean-dirty|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-234250_22.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len11-74951-merge.wav|clean-dirty.wav
clever|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-234309_18.6s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-62787-merge.wav|clever.wav
